CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
1;CH;7952;E;1;0;;1.625;1.122;0.177;AZUL;137;
1;CH;8120;C;16;0;;2.442;0.208;0.171;ROSA;140;
1;CH;9054;C;25;0;;2.169;1.621;0.188;AMARELA;138;
1;CH;9689;A;3;0;;1.766;-0.102;0.164;BRANCA;139;
1;CH;18289;A;17;0;;1.121;-0.493;0.191;BRANCA;154;
2;CH;8011;A;13;0;;1.568;-0.189;0.168;BRANCA;139;
2;CH;8450;E;26;0;;0.929;0.518;0.171;AMARELA;138;
2;CH;8454;E;27;0;;2.156;2.567;0.148;ROSA;140;
2;CH;9690;A;23;0;;2.016;0.823;0.203;AZUL;137;
2;CH;18293;D;4;0;;0.983;-0.408;0.15;BRANCA;154;
3;CH;7569;B;9;0;;2.851;0.683;0.133;ROSA;140;
3;CH;8503;B;9;0;;2.617;1.099;0.252;AMARELA;138;
3;CH;8602;C;21;0;;2.88;-0.094;0.173;BRANCA;154;
3;CH;11047;D;24;0;;1.324;2.95;0.286;AZUL;137;
3;CH;14121;B;24;0;;2.641;0.468;0.16;BRANCA;139;
4;CH;7592;D;21;0;;2.375;1.921;0.066;ROSA;140;
4;CH;7795;D;22;0;;2.159;0.644;0.142;BRANCA;139;
4;CH;8102;B;3;0;;2.155;0.752;0.254;AZUL;137;
4;CH;14529;E;11;0;;2.383;0.003;0.167;AMARELA;138;
4;CH;18295;C;21;0;;3.071;0.422;0.155;BRANCA;154;
5;CH;7586;D;2;0;;1.493;0.705;0.146;ROSA;140;
5;CH;7589;E;12;0;;2.155;0.211;0.171;BRANCA;139;
5;CH;7612;C;22;0;;1.272;-0.224;0.202;AMARELA;138;
5;CH;9689;A;3;0;;1.766;-0.102;0.164;AZUL;137;
5;CH;12151;D;13;0;;2.704;2.171;0.221;BRANCA;154;
6;CH;7597;E;7;0;;1.253;1.64;0.267;BRANCA;139;
6;CH;8011;A;13;0;;1.568;-0.189;0.168;AZUL;137;
6;CH;8416;C;17;0;;1.147;3.067;0.244;ROSA;140;
6;CH;8451;A;29;0;;1.398;-0.295;0.15;AMARELA;138;
6;CH;9514;E;1;0;;1.624;0.873;0.15;BRANCA;154;
7;CH;7572;E;15;0;;1.194;1.197;0.222;BRANCA;139;
7;CH;7952;E;1;0;;1.625;1.122;0.177;AMARELA;138;
7;CH;10932;D;4;0;;2.451;0.542;0.14;ROSA;140;
7;CH;14105;E;12;0;;2.406;2.06;0.159;BRANCA;154;
7;CH;14121;B;24;0;;2.641;0.468;0.16;AZUL;137;
8;CH;6899;E;2;0;;2.165;0.333;0.145;BRANCA;139;
8;CH;7795;D;22;0;;2.159;0.644;0.142;AZUL;137;
8;CH;9104;C;23;0;;2.461;0.838;0.201;BRANCA;154;
8;CH;9690;A;23;0;;2.016;0.823;0.203;AMARELA;138;
8;CH;13850;A;26;0;;1.687;1.227;0.123;ROSA;140;
9;CH;7952;E;1;0;;1.625;1.122;0.177;BRANCA;139;
9;CH;8507;A;24;0;;2.208;1.55;0.13;BRANCA;154;
9;CH;9054;C;25;0;;2.169;1.621;0.188;AZUL;137;
9;CH;9101;E;4;0;;1.688;2.01;0.187;ROSA;140;
9;CH;9689;A;3;0;;1.766;-0.102;0.164;AMARELA;138;
10;CH;7607;D;15;0;;1.308;1.057;0.182;BRANCA;154;
10;CH;8011;A;13;0;;1.568;-0.189;0.168;AMARELA;138;
10;CH;8450;E;26;0;;0.929;0.518;0.171;AZUL;137;
10;CH;9690;A;23;0;;2.016;0.823;0.203;BRANCA;139;
10;CH;11449;C;23;0;;1.135;2.452;0.189;ROSA;140;
11;CH;7952;E;1;0;;1.625;1.122;0.177;ROSA;140;
11;CH;7987;B;13;0;;2.226;2.501;0.129;BRANCA;154;
11;CH;8503;B;9;0;;2.617;1.099;0.252;AZUL;137;
11;CH;9054;C;25;0;;2.169;1.621;0.188;BRANCA;139;
