CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;CH;24918;C;1;0;;1.30844;2.80277;0.05925;AMARELA;396;;0
1;CH;37161;E;28;0;;1.93517;0.75431;0.10121;VERDE;412;;1
1;CH;44604;C;5;0;;3.43894;0.97831;0.10855;AZUL;395;;0
1;CH;44604;C;5;0;;3.43894;0.97831;0.10855;LARANJA;408;;1
1;CH;54004;D;24;0;;1.70138;0.59901;0.24908;AZUL;435;;0
1;CH;76958;C;18;0;;1.67166;1.05311;0.16373;BRANCA;437;;0
1;CH;78146;E;8;0;;4.15431;0.99679;0.17249;BRANCA;397;;0
1;CH;81726;B;30;0;;3.95893;1.08055;0.14882;AMARELA;436;;0
1;CH;82449;D;10;0;;1.15761;1.72114;0.0512;ROSA;398;;0
1;CH;84523;E;10;0;;3.9431;0.0624;0.18224;ROSA;438;;0
1;CN;29460;D;7;0;;4.15611;1.606;0.17345;AZUL;391;;0
1;CN;30038;E;29;0;;2.97316;0.61863;0.10857;AMARELA;431;;0
1;CN;37558;E;21;0;;3.52416;1.83339;0.13342;CINZA;432;;0
1;CN;40150;B;3;0;;2.52396;1.35265;0.14168;AMARELA;392;;0
1;CN;40150;B;3;0;;2.52396;1.35265;0.14168;LARANJA;407;;1
1;CN;43880;E;20;0;;4.27457;0.56765;0.22036;ROSA;394;;0
1;CN;55753;C;1;0;;3.58463;-0.6059;0.18169;AZUL;433;;0
1;CN;60918;C;14;0;;3.33047;1.12954;0.20831;ROSA;434;;0
1;CN;61269;C;14;0;;5.00249;0.92951;0.15259;CINZA;393;;0
1;CN;84451;C;26;0;;2.31465;-0.86261;0.1854;VERDE;411;;1
1;LC;18212;E;7;0;;2.83695;0.71551;0.20157;AMARELA;400;0.0;0
1;LC;18292;B;5;0;;3.76641;1.02064;0.26396;AZUL;439;0.0;0
1;LC;23448;A;7;0;;2.296;-0.14177;0.18738;AMARELA;440;0.0;0
1;LC;37043;D;6;0;;3.20601;0.68677;0.15385;BRANCA;402;0.0;0
1;LC;37683;C;6;0;;3.23952;0.20585;0.20042;BRANCA;441;0.0;0
1;LC;48074;D;6;0;;4.52165;0.53966;0.24458;AZUL;399;0.0;0
1;LC;48074;D;6;0;;4.52165;0.53966;0.24458;LARANJA;409;0.0;1
1;LC;48074;D;6;0;;4.52165;0.53966;0.24458;ROSA;401;0.0;0
1;LC;54408;A;5;0;;1.57863;0.53725;0.18924;VERDE;413;0.0;1
1;LC;64089;A;6;0;;2.87437;0.42812;0.19261;ROSA;442;0.0;0
1;MT;10252;B;22;0;;1.66203;1.36589;0.13107;ROSA;446;;0
1;MT;17291;B;3;0;;1.50418;1.51711;0.14864;CINZA;444;;0
